10021,63,92,53
10022,55,87,69
10023,73,76,16
10024,40,89,16
10025,66,65,92
10026,17,79,65
10027,58,88,67
10028,94,25,17
10029,67,32,26
10030,61,53,20
10031,46,29,72
10032,42,36,61
10033,46,11,66
10034,17,40,52
10035,61,61,84
10036,53,97,57
10037,61,90,10
10038,25,62,76
10039,69,66,63
10040,67,66,91
10041,71,17,62
10042,58,96,80
10043,52,99,45
10044,90,53,15
10045,91,53,92
10046,38,68,63
10047,89,90,70
10048,56,27,86
10049,99,44,51
10050,18,98,73
10051,51,13,33
10052,71,42,59
10053,14,10,49
10054,93,53,15
10055,20,97,42
10056,38,54,39
10057,24,54,42
10058,98,22,52
10059,96,73,49
10060,17,66,30
10061,85,91,94
10062,87,41,46
10063,54,98,62
10064,10,70,36
10065,36,80,22
10066,55,87,33
10067,39,89,25
10068,70,63,55
10069,50,11,19
10070,67,70,11
10071,83,74,23
10072,65,56,58
10073,86,45,13
10074,44,43,14
10075,34,88,51
10076,66,81,70
10077,20,94,25
10078,23,65,38
10079,53,92,82
10080,89,91,10
10081,23,33,96
10082,12,85,20
10083,57,30,47
10084,61,58,24
10085,96,10,59
10086,96,25,20
10087,10,85,51
10088,63,100,32
10089,65,51,31
10090,31,36,63
10091,30,64,73
10092,12,47,81
10093,64,70,22
10094,88,26,71
10095,68,97,96
10096,31,13,34
10097,49,14,93
10098,21,97,46
10099,52,82,39
10100,23,100,98
10101,75,25,77
10102,95,40,65
10103,44,24,62
10104,79,90,33
10105,51,90,24
10106,78,12,81
10107,30,44,45
10108,64,35,68
10109,71,50,88
10110,43,20,70
10111,73,90,67
10112,37,28,93
10113,50,39,91
10114,63,84,21
10115,31,90,85
10116,29,42,22
10117,70,11,20
10118,95,66,57
10119,13,28,39
10120,34,54,18
